Market_Cap,Last_Price,Price–earnings_ratio,Dividend_yield,Return_on_equity,Company_Key,Stock_Key
40.89m,0.03,-,0.00,-25.00,7170,4776
539.06m,1.91,4.98,7.85,12.33,1853,5194
851.73m,1.32,20.89,1.14,19.33,9145,9067
36.78m,0.01,-,0.00,-31.82,7752,3083
13.73m,0.10,-,0.00,-,7264,5180
117.29m,2.79,4.89,1.79,11.74,9616,4921
98.80m,0.26,17.33,3.85,7.32,3190,3712
19.82m,0.32,-,0.00,-5.94,2029,9909
91.04m,0.59,-,3.42,-11.58,9318,3505
229.70m,0.65,-,1.54,-1.29,2731,6416
515.27m,0.89,6.83,7.64,11.89,9385,4062
404.22m,1.40,22.40,3.57,4.63,5712,1741
11.897b,6.59,22.35,5.10,4.11,9571,3521
-,2.05,-,-,-,4457,1574
-,1.82,-,-,-,5450,3415
22.377b,20.70,9.60,4.83,17.20,8254,6016
253.95m,4.02,-,0.78,-1.38,5571,7090
1.628b,1.68,10.08,8.33,18.73,5547,5059
367.83m,0.10,-,0.00,-,5654,1948
51.82m,0.52,-,0.00,-,4803,7399
857.86m,2.63,16.73,0.76,13.91,5826,6086
28.87m,0.05,-,0.00,-,8620,3583
2.763b,1.08,3.13,44.44,22.80,2259,4185
628.97m,4.25,10.13,2.12,25.43,2306,9468
3.559b,0.79,44.38,1.27,3.71,2176,6318
248.09m,0.62,3.12,1.61,13.53,5172,3817
362.74m,0.68,6.42,6.67,5.42,1621,9520
88.70m,0.60,4.42,0.00,7.00,2311,2270
1.187b,0.51,5.86,1.96,24.67,3635,8441
323.25m,0.45,16.19,0.00,4.96,7764,8454
1.229b,3.40,7.58,1.47,6.89,7908,8094
804.07m,0.78,6.41,0.00,3.86,5543,7060
83.59m,0.65,10.14,1.38,7.40,8409,8006
86.91m,0.19,-,0.00,-,7838,8724
132.96m,0.20,6.59,0.00,12.33,5201,3010
294.93m,0.53,16.11,2.83,3.70,6372,5243
163.35m,1.32,-,1.33,-26.51,5591,4338
86.52m,0.57,7.78,0.00,11.63,3183,2712
282.45m,0.10,19.79,5.26,1.28,1689,2286
1.063b,1.27,5.33,5.12,20.70,3055,9868
61.62m,0.04,-,0.00,-,5351,7387
114.16m,0.17,-,0.00,-2.37,5603,9561
166.57m,0.23,11.90,1.33,3.15,7636,6191
206.55m,0.48,4.04,5.26,13.69,3367,3933
55.94m,0.50,30.30,6.00,1.29,1146,6003
619.85m,0.40,5.21,4.68,8.61,6966,6098
3.099b,1.34,15.99,29.10,1.50,5608,4122
127.61m,0.94,222.62,0.00,0.49,9859,9178
105.72m,0.63,11.11,3.97,14.18,1126,6423
167.09m,0.49,1.58,8.16,18.67,5171,7404
76.13m,0.10,-,0.00,-16.91,5450,3010
510.72m,1.12,-,0.00,-,4076,6974
1.679b,0.46,37.10,1.43,2.39,3755,8012
119.37m,0.33,-,0.00,-33.05,4658,8314
437.40m,0.81,7.90,3.29,3.93,4489,8039
215.37m,0.30,-,0.00,-,5292,3736
101.89m,0.44,-,0.00,-,9707,5037
2.675b,4.95,14.71,5.05,14.05,8314,5622
29.15m,0.03,-,11.67,-,5867,5456
147.75m,0.15,46.77,0.00,4.43,6590,5002
4.940b,12.40,16.65,5.97,13.97,5892,6551
170.90m,0.48,-,2.19,-,5236,8377
72.97m,0.52,4.10,2.88,9.32,9650,2631
201.79m,1.41,-,0.00,-3.09,4493,5861
287.15m,0.10,25.00,0.00,3.80,7528,7516
572.38m,0.54,8.71,5.05,11.16,6051,5647
103.42m,0.18,-,0.00,-25.43,8781,8879
69.85m,1.68,12.49,0.60,3.43,9757,9891
65.15m,0.09,-,0.00,-46.75,5382,5366
105.49m,0.40,-,0.00,-,8696,9013
252.58m,0.18,14.46,0.00,2.42,9776,7382
192.69m,0.48,3.07,0.00,12.31,3124,7644
759.41m,1.75,8.02,3.71,12.19,6409,5067
2.042b,1.42,60.68,1.76,1.42,3930,7869
1.190b,0.49,7.15,5.41,4.79,4072,5029
3.075b,0.62,12.47,8.29,4.36,3394,6556
77.25m,1.03,-,0.00,-1.36,5421,8058
211.26m,0.40,-,0.00,-,6950,4424
426.04m,1.97,10.30,3.55,4.43,1030,4567
163.42m,0.16,8.47,3.23,7.96,8576,6677
173.17m,0.26,5.94,0.00,3.40,1901,7692
99.95m,1.83,6.35,5.46,11.76,3741,1765
215.03m,0.09,37.50,2.22,2.18,8587,2791
1.802b,1.44,8.18,5.79,7.69,8009,7232
225.57m,0.18,29.03,5.56,1.74,4401,3924
27.484b,3.51,22.15,4.84,18.87,2458,4668
102.756b,8.58,13.44,6.76,9.02,6593,2948
355.00m,0.36,1.65,0.00,38.12,9029,9886
